序号,基金代码,基金简称,期间涨幅,期间分红(元/份),分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
45,015068,华夏圆和混合C,10.19%,---,0,2022-02-22,1.0746,1.0746,2022-10-18,1.1841,1.1841,2022-02-22,0.00%
46,008732,招商添浩纯债C,10.12%,---,0,2021-10-18,0.9953,0.9953,2022-10-18,1.0960,1.0960,2020-09-10,0.00%
47,013842,银华新锐成长混合,10.05%,---,0,2022-03-31,1.0000,1.0000,2022-10-18,1.1005,1.1005,2022-03-31,0.15%
48,014612,富国核心科技12,9.91%,---,0,2022-01-28,1.0000,1.0000,2022-10-18,1.0991,1.0991,2022-01-28,0.00%
49,159625,嘉实国证绿色电力,9.67%,---,0,2022-04-21,1.0000,1.0000,2022-10-18,1.0967,1.0967,2022-04-21,--
50,015585,国泰优势行业混合,9.65%,---,0,2022-05-17,1.9108,1.9108,2022-10-18,2.0951,2.0951,2022-05-17,0.00%
51,005505,前海开源中药股票,12.78%,---,0,2021-10-18,1.9247,1.9247,2022-10-18,2.1707,2.1707,2018-03-21,0.15%
52,014327,格林新兴产业混合,12.76%,---,0,2022-03-08,1.0000,1.0000,2022-10-18,1.1276,1.1276,2022-03-08,0.15%
53,005506,前海开源中药股票,12.49%,---,0,2021-10-18,1.9130,1.9130,2022-10-18,2.1520,2.1520,2018-03-21,0.00%
54,015850,农银行业轮动混合,12.48%,---,0,2022-05-26,6.3622,6.3622,2022-10-18,7.1564,7.1564,2022-05-26,0.00%
55,519519,华泰柏瑞稳本增利,12.48%,0.0663,1,2021-10-18,1.0545,1.5803,2022-10-18,1.1124,1.7045,2006-04-13,0.08%
56,014508,汇添富先进制造混,12.42%,---,0,2022-03-02,1.0000,1.0000,2022-10-18,1.1242,1.1242,2022-03-02,0.15%
57,014328,格林新兴产业混合,12.40%,---,0,2022-03-08,1.0000,1.0000,2022-10-18,1.1240,1.1240,2022-03-08,0.00%
58,014509,汇添富先进制造混,12.16%,---,0,2022-03-02,1.0000,1.0000,2022-10-18,1.1216,1.1216,2022-03-02,0.00%
59,460003,华泰柏瑞稳本增利,12.13%,0.0603,1,2021-10-18,1.0463,1.5304,2022-10-18,1.1063,1.6507,2007-12-03,0.00%
60,015592,国泰事件驱动策略,12.04%,---,0,2022-05-20,4.8594,4.8594,2022-10-18,5.4445,5.4445,2022-05-20,0.00%
61,015576,泰达宏利绩优混合,11.99%,---,0,2022-06-10,1.7196,1.7196,2022-10-18,1.9258,1.9258,2022-06-10,0.00%
62,015059,华夏产业升级混合,11.96%,---,0,2022-02-22,1.9069,1.9069,2022-10-18,2.1350,2.1350,2022-02-22,0.00%
63,013502,易方达中证内地低,11.95%,---,0,2022-04-07,1.0000,1.0000,2022-10-18,1.1195,1.1195,2022-04-07,0.12%
64,015722,长城中小盘成长混,11.94%,---,0,,---,---,,---,---,2022-05-13,0.00%
65,161032,富国中证煤炭指数,11.88%,---,0,2021-10-18,1.8440,1.2850,2022-10-18,2.0630,1.4370,2015-06-19,0.00%
66,014913,博时研究回报混合,11.69%,---,0,2022-03-15,1.0000,1.0000,2022-10-18,1.1169,1.1169,2022-03-15,0.15%
67,013503,易方达中证内地低,11.68%,---,0,2022-04-07,1.0000,1.0000,2022-10-18,1.1168,1.1168,2022-04-07,0.00%
68,013275,富国中证煤炭指数,11.66%,---,0,2021-10-18,1.8440,1.8440,2022-10-18,2.0590,2.0590,2021-08-19,0.00%
69,159645,富国国证疫苗与生,11.31%,---,0,2022-09-16,0.9982,0.9982,2022-10-18,1.1111,1.1111,2022-09-16,--
